time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1728905893466000000,1.438999755859375,45,1.5,1.099717617034912,17.94099998474121,0,0,74.0999984741211,-0.6078085,44.7980502
1728905896334852000,4.30785205078125,180,0.3493395447731018,1.1299986839294434,12.970000267028809,0.9546104669570923,178.16928100585938,74.0999984741211,-0.607863,44.7978794
1728905897338114000,5.311114013671875,180,0.4619707763195038,1.1384906768798828,11.312999725341797,0.645425021648407,136.3341827392578,74.0999984741211,-0.6078474,44.7978966
1728905898333407500,6.306407470703125,180,0.3887433111667633,1.1484612226486206,10.484999656677246,0.20612938702106476,116.82392883300781,74.0999984741211,-0.6078378,44.7978978
1728905899106000000,7.078999755859375,45,1.5,2.144658088684082,9.157999992370605,0.20611870288848877,116.6214599609375,74.0999984741211,-0.6078351,44.797898
1728905899359391500,7.3323916015625,180,0.33224523067474365,2.1458096504211426,8.927000045776367,0.15851466357707977,191.87899780273438,74.0999984741211,-0.6078251,44.7978876
1728905900378671600,8.351671630859375,180,0.3486288785934448,2.142507553100586,8.772000312805176,0.3256305158138275,354.013671875,74.0999984741211,-0.6078136,44.7978777
1728905901333054500,9.306054443359375,45,0.16600301861763,2.148064136505127,8.661999702453613,0.3172758221626282,358.3316345214844,74.0999984741211,-0.6077962,44.7978644
1728905902332252400,10.30525244140625,45,0.11333675682544708,2.1562130451202393,8.661999702453613,0.31240981817245483,350.62799072265625,74.0999984741211,-0.60781,44.7978635
1728905903906501000,11.879501220703125,45,20,2.1713860034942627,8.439000129699707,0.4190431535243988,331.53564453125,74.0999984741211,-0.6078409,44.7978793
1728905904198000000,12.171000244140625,45,1.5,1.8731510639190674,7.624000072479248,0.4361579120159149,329.5438537597656,74.19999694824219,-0.607845,44.7978813
1728905904940163300,12.913163330078126,45,20,1.893935203552246,7.290999889373779,0.47514623403549194,333.3572998046875,74.19999694824219,-0.607846,44.7978887
1728905905925068300,13.898068359375,45,20,1.90150785446167,6.958000183105469,0.5601720809936523,347.8948059082031,74.19999694824219,-0.6078381,44.797903
1728905906929609000,14.90260888671875,45,20,1.9174736738204956,6.624000072479248,0.7474594116210938,358.39801025390625,74.19999694824219,-0.6078298,44.7979233
1728905907932961000,15.9059609375,3.319074869155884,0.1599092036485672,1.937690258026123,6.290999889373779,2.90701961517334,30.934553146362305,74.19999694824219,-0.607809,44.7979577
1728905908954805800,16.9278056640625,2.8775360584259033,0.15635131299495697,1.9486703872680664,6.290999889373779,3.0685524940490723,31.9659481048584,74.19999694824219,-0.6077886,44.7979861
1728905909963857000,17.93685693359375,2.14211368560791,0.12635065615177155,1.9586853981018066,6,3.112274646759033,32,74.19999694824219,-0.6077642,44.7980053
1728905910960569300,18.9335693359375,1.3089861869812012,0.09250389784574509,1.968727707862854,6,3.0494625568389893,32.988929748535156,74.19999694824219,-0.6077329,44.7980279
1728905911955720700,19.928720703125,5.0061140060424805,0.13141387701034546,1.9786934852600098,5.599999904632568,2.9742631912231445,33.94963455200195,74.19999694824219,-0.6076901,44.7980558
1728905912962089700,20.93508984375,3.6797921657562256,0.11963027715682983,1.9887171983718872,5.199999809265137,2.786468982696533,34.01460266113281,74.19999694824219,-0.6076544,44.7980786
1728905913962866400,21.935866455078123,2.0273122787475586,0.10844669491052628,1.9986828565597534,4.800000190734863,3.1632773876190186,33.01529312133789,74.19999694824219,-0.6076277,44.7980992
