time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1728905892151481300,0.1244814453125,0.40559500455856323,0.021518999710679054,0.18225200474262238,0.8954399824142456,-0.11666499823331833,-0.35101112723350525,-0.871329128742218
1728905892161481200,0.134481201171875,0.40855398774147034,0.012109000235795975,0.18424999713897705,0.8938609957695007,-0.13746529817581177,-0.3461536765098572,-0.8814980387687683
1728905892171481300,0.1444814453125,0.41350001096725464,0.005160000175237656,0.18864800035953522,0.8907309770584106,-0.15678207576274872,-0.3472748100757599,-0.8967951536178589
1728905892181481200,0.154481201171875,0.419638991355896,0.0009970000246539712,0.19526700675487518,0.8864369988441467,-0.17373017966747284,-0.3543923795223236,-0.9154683947563171
1728905892191481300,0.1644814453125,0.4262939989566803,-0.0018260000506415963,0.20457099378108978,0.8811460137367249,-0.19148461520671844,-0.3671501874923706,-0.9368547797203064
1728905892201481200,0.174481201171875,0.43358099460601807,-0.004401000216603279,0.2165219932794571,0.8747029900550842,-0.21243661642074585,-0.3843627870082855,-0.9618722200393677
1728905892211481300,0.1844814453125,0.441771000623703,-0.007263000123202801,0.23100799322128296,0.8668450117111206,-0.2380179911851883,-0.4050656259059906,-0.9917434453964233
1728905892221478000,0.194477783203125,0.45113998651504517,-0.01053600013256073,0.24771000444889069,0.85732102394104,-0.2687673270702362,-0.42819294333457947,-1.0275802612304688
1728905892231477800,0.204477783203125,0.4623889923095703,-0.013411000370979309,0.2656410038471222,0.8458430171012878,-0.3029504120349884,-0.45223724842071533,-1.0707542896270752
1728905892241478000,0.214477783203125,0.47628799080848694,-0.014914999715983868,0.2843630015850067,0.8319039940834045,-0.33928006887435913,-0.47677674889564514,-1.1231480836868286
1728905892251477800,0.224477783203125,0.49212199449539185,-0.016596000641584396,0.3046239912509918,0.8153179883956909,-0.3819284737110138,-0.5011065602302551,-1.1849892139434814
1728905892261478400,0.234478515625,0.508978009223938,-0.019385000690817833,0.3266400098800659,0.7961599826812744,-0.4331074357032776,-0.5240403413772583,-1.2554863691329956
1728905892271478500,0.244478515625,0.5258489847183228,-0.02413100004196167,0.3503530025482178,0.77469402551651,-0.494156152009964,-0.5438731908798218,-1.3331211805343628
1728905892281478400,0.254478515625,0.5416259765625,-0.030465999618172646,0.3754180073738098,0.7515130043029785,-0.5634008646011353,-0.5600879192352295,-1.4150632619857788
1728905892291478500,0.264478515625,0.5562400221824646,-0.03768699988722801,0.40061500668525696,0.7271050214767456,-0.6371771693229675,-0.5712123513221741,-1.499163269996643
1728905892301478400,0.274478515625,0.5700910091400146,-0.0449879989027977,0.4241800010204315,0.7021690011024475,-0.7100713849067688,-0.5756707787513733,-1.582556962966919
1728905892311478500,0.284478515625,0.5832710266113281,-0.052351001650094986,0.4451020061969757,0.6774489879608154,-0.7785601615905762,-0.5728129744529724,-1.662122368812561
1728905892321478400,0.294478515625,0.5956739783287048,-0.06007799878716469,0.46311599016189575,0.6535170078277588,-0.8409716486930847,-0.5630106329917908,-1.7354462146759033
1728905892331478500,0.304478515625,0.6073340177536011,-0.06784400343894958,0.47827398777008057,0.6307100057601929,-0.8959792852401733,-0.5479007959365845,-1.8015129566192627
1728905892341478400,0.314478515625,0.6186429858207703,-0.07463700324296951,0.4908199906349182,0.6089370250701904,-0.9426743388175964,-0.5298565626144409,-1.8614072799682617
1728905892351478500,0.324478515625,0.6298810243606567,-0.07970999926328659,0.5009920001029968,0.5881339907646179,-0.9808422327041626,-0.5108113884925842,-1.9163588285446167
1728905892361478400,0.334478515625,0.6410340070724487,-0.08292800188064575,0.5091019868850708,0.5683419704437256,-1.0112134218215942,-0.491976261138916,-1.9670861959457397
1728905892371478500,0.344478515625,0.6520050168037415,-0.0847650021314621,0.5154650211334229,0.5495439767837524,-1.035175085067749,-0.47350332140922546,-2.0139713287353516
1728905892381478700,0.354478759765625,0.6615700125694275,-0.08701500296592712,0.5220130085945129,0.5312759876251221,-1.0590498447418213,-0.4550786316394806,-2.0577926635742188
1728905892391478500,0.364478515625,0.6694989800453186,-0.09003199636936188,0.5294849872589111,0.5131369829177856,-1.0850465297698975,-0.43658140301704407,-2.0995843410491943
1728905892401478700,0.374478759765625,0.6787149906158447,-0.09160199761390686,0.5330650210380554,0.4967850148677826,-1.0997170209884644,-0.41730058193206787,-2.135998487472534
1728905892411478500,0.384478515625,0.6885939836502075,-0.09211699664592743,0.533312976360321,0.4826270043849945,-1.1047331094741821,-0.39837390184402466,-2.166520833969116
1728905892421478700,0.394478759765625,0.6983619928359985,-0.09257200360298157,0.5321769714355469,0.4695819914340973,-1.1058834791183472,-0.3795514702796936,-2.1936585903167725
1728905892431478500,0.404478515625,0.709276020526886,-0.09284999966621399,0.5277420282363892,0.4580320119857788,-1.098652958869934,-0.3594217002391815,-2.2163145542144775
1728905892441478700,0.414478759765625,0.7204399704933167,-0.09352000057697296,0.5209580063819885,0.4481309950351715,-1.085824966430664,-0.3385966420173645,-2.234234571456909
1728905892451478500,0.424478515625,0.7306910157203674,-0.09492699801921844,0.5136520266532898,0.4395909905433655,-1.0720621347427368,-0.31821221113204956,-2.248457670211792
1728905892461478700,0.434478759765625,0.7400140166282654,-0.09655900299549103,0.5059430003166199,0.4325230121612549,-1.0573067665100098,-0.2991980016231537,-2.2593607902526855
1728905892471478500,0.444478515625,0.7476990222930908,-0.09762399643659592,0.49919599294662476,0.4268699884414673,-1.0440975427627563,-0.28399917483329773,-2.268198013305664
